V4_1,Data Marking,calendar-years,time,admin-geography,geography,week-number,week,recorded-deaths,deaths
1466,,2010,2010,E12000008,South East,week-11,Week 11,total-registered-deaths,Total registered deaths
1301,,2011,2011,E12000002,North West,week-44,Week 44,total-registered-deaths,Total registered deaths
1020,,2010,2010,E12000005,West Midlands,week-8,Week 08,total-registered-deaths,Total registered deaths
1158,,2011,2011,E12000004,East Midlands,week-2,Week 02,total-registered-deaths,Total registered deaths
942,,2010,2010,E12000009,South West,week-42,Week 42,total-registered-deaths,Total registered deaths
886,,2011,2011,E12000005,West Midlands,week-28,Week 28,total-registered-deaths,Total registered deaths
960,,2010,2010,E12000003,Yorkshire and The Humber,week-7,Week 07,total-registered-deaths,Total registered deaths
550,,2010,2010,E12000001,North East,week-3,Week 03,total-registered-deaths,Total registered deaths
880,,2011,2011,E12000007,London,week-26,Week 26,total-registered-deaths,Total registered deaths
,x,2011,2011,E12000009,South West,week-53,Week 53,total-registered-deaths,Total registered deaths
,x,2018,2018,E12000002,North West,week-53,Week 53,total-registered-deaths,Total registered deaths
937,,2010,2010,E12000006,East of England,week-19,Week 19,total-registered-deaths,Total registered deaths
,x,2017,2017,E12000008,South East,week-53,Week 53,total-registered-deaths,Total registered deaths
572,,2010,2010,W92000004,Wales,week-44,Week 44,total-registered-deaths,Total registered deaths
9437,,2010,2010,K04000001,England and Wales,week-46,Week 46,total-registered-deaths,Total registered deaths
1187,,2010,2010,E12000002,North West,week-34,Week 34,total-registered-deaths,Total registered deaths
1093,,2010,2010,E12000007,London,week-4,Week 04,total-registered-deaths,Total registered deaths
457,,2010,2010,E12000001,North East,week-22,Week 22,total-registered-deaths,Total registered deaths
9792,,2010,2010,K04000001,England and Wales,week-10,Week 10,total-registered-deaths,Total registered deaths
1018,,2011,2011,E12000009,South West,week-11,Week 11,total-registered-deaths,Total registered deaths
,x,2010,2010,E12000005,West Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
877,,2011,2011,E12000009,South West,week-37,Week 37,total-registered-deaths,Total registered deaths
471,,2011,2011,W92000004,Wales,week-35,Week 35,total-registered-deaths,Total registered deaths
,x,2012,2012,K04000001,England and Wales,week-53,Week 53,total-registered-deaths,Total registered deaths
661,,2010,2010,E12000004,East Midlands,week-22,Week 22,total-registered-deaths,Total registered deaths
644,,2013,2013,W92000004,Wales,week-51,Week 51,total-registered-deaths,Total registered deaths
1041,,2010,2010,E12000009,South West,week-9,Week 09,total-registered-deaths,Total registered deaths
,x,2016,2016,K04000001,England and Wales,week-53,Week 53,total-registered-deaths,Total registered deaths
794,,2010,2010,E12000004,East Midlands,week-15,Week 15,total-registered-deaths,Total registered deaths
529,,2011,2011,W92000004,Wales,week-29,Week 29,total-registered-deaths,Total registered deaths
738,,2011,2011,E12000004,East Midlands,week-25,Week 25,total-registered-deaths,Total registered deaths
617,,2010,2010,W92000004,Wales,week-11,Week 11,total-registered-deaths,Total registered deaths
862,,2010,2010,E12000009,South West,week-28,Week 28,total-registered-deaths,Total registered deaths
1049,,2010,2010,E12000007,London,week-6,Week 06,total-registered-deaths,Total registered deaths
684,,2011,2011,E12000004,East Midlands,week-30,Week 30,total-registered-deaths,Total registered deaths
,x,2014,2014,E12000002,North West,week-53,Week 53,total-registered-deaths,Total registered deaths
896,,2010,2010,E12000003,Yorkshire and The Humber,week-20,Week 20,total-registered-deaths,Total registered deaths
1108,,2011,2011,E12000006,East of England,week-19,Week 19,total-registered-deaths,Total registered deaths
834,,2010,2010,E12000003,Yorkshire and The Humber,week-24,Week 24,total-registered-deaths,Total registered deaths
1022,,2011,2011,E12000007,London,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2010,2010,E12000004,East Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
908,,2010,2010,E12000006,East of England,week-24,Week 24,total-registered-deaths,Total registered deaths
,x,2014,2014,E12000005,West Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
9220,,2010,2010,K04000001,England and Wales,week-48,Week 48,total-registered-deaths,Total registered deaths
937,,2010,2010,E12000003,Yorkshire and The Humber,week-14,Week 14,total-registered-deaths,Total registered deaths
987,,2010,2010,E12000009,South West,week-47,Week 47,total-registered-deaths,Total registered deaths
942,,2011,2011,E12000009,South West,week-38,Week 38,total-registered-deaths,Total registered deaths
468,,2010,2010,E12000001,North East,week-38,Week 38,total-registered-deaths,Total registered deaths
9473,,2010,2010,K04000001,England and Wales,week-47,Week 47,total-registered-deaths,Total registered deaths
633,,2011,2011,W92000004,Wales,week-12,Week 12,total-registered-deaths,Total registered deaths
897,,2010,2010,E12000006,East of England,week-36,Week 36,total-registered-deaths,Total registered deaths
12541,,2010,2010,K04000001,England and Wales,week-2,Week 02,total-registered-deaths,Total registered deaths
997,,2011,2011,E12000003,Yorkshire and The Humber,week-6,Week 06,total-registered-deaths,Total registered deaths
1170,,2010,2010,E12000009,South West,week-49,Week 49,total-registered-deaths,Total registered deaths
9631,,2010,2010,K04000001,England and Wales,week-12,Week 12,total-registered-deaths,Total registered deaths
